id	quiz_id	question_id	minutes	order	created_at	updated_at
54	3	1	2	1	2019-09-06 12:06:43	2019-09-06 12:06:43
55	3	2	2	2	2019-09-06 12:06:43	2019-09-06 12:06:43
56	3	3	2	3	2019-09-06 12:06:43	2019-09-06 12:06:43
57	4	1	2	1	2019-09-06 22:44:21	2019-09-06 22:44:21
58	4	2	2	2	2019-09-06 22:44:21	2019-09-06 22:44:21
59	4	3	2	3	2019-09-06 22:44:21	2019-09-06 22:44:21
60	4	4	2	4	2019-09-06 22:44:21	2019-09-06 22:44:21
61	4	5	2	5	2019-09-06 22:44:21	2019-09-06 22:44:21
62	4	6	2	6	2019-09-06 22:44:21	2019-09-06 22:44:21
63	4	7	2	7	2019-09-06 22:44:21	2019-09-06 22:44:21
64	4	8	2	8	2019-09-06 22:44:21	2019-09-06 22:44:21
65	4	9	2	9	2019-09-06 22:44:21	2019-09-06 22:44:21
66	4	10	2	10	2019-09-06 22:44:21	2019-09-06 22:44:21
67	4	11	2	11	2019-09-06 22:44:21	2019-09-06 22:44:21
68	4	12	2	12	2019-09-06 22:44:21	2019-09-06 22:44:21
69	4	13	2	13	2019-09-06 22:44:21	2019-09-06 22:44:21
70	4	14	2	14	2019-09-06 22:44:21	2019-09-06 22:44:21
71	4	15	2	15	2019-09-06 22:44:21	2019-09-06 22:44:21
72	4	16	2	16	2019-09-06 22:44:21	2019-09-06 22:44:21
73	4	17	2	17	2019-09-06 22:44:21	2019-09-06 22:44:21
74	4	18	2	18	2019-09-06 22:44:21	2019-09-06 22:44:21
75	4	19	2	19	2019-09-06 22:44:22	2019-09-06 22:44:22
76	4	20	2	20	2019-09-06 22:44:22	2019-09-06 22:44:22
77	4	21	2	21	2019-09-06 22:44:22	2019-09-06 22:44:22
78	4	22	2	22	2019-09-06 22:44:22	2019-09-06 22:44:22
79	4	23	2	23	2019-09-06 22:44:22	2019-09-06 22:44:22
80	4	24	2	24	2019-09-06 22:44:22	2019-09-06 22:44:22
81	4	25	2	25	2019-09-06 22:44:22	2019-09-06 22:44:22
82	4	26	2	26	2019-09-06 22:44:22	2019-09-06 22:44:22
83	4	27	2	27	2019-09-06 22:44:22	2019-09-06 22:44:22
84	4	28	2	28	2019-09-06 22:44:22	2019-09-06 22:44:22
85	4	29	2	29	2019-09-06 22:44:22	2019-09-06 22:44:22
86	4	30	2	30	2019-09-06 22:44:22	2019-09-06 22:44:22
87	4	31	2	31	2019-09-06 22:44:22	2019-09-06 22:44:22
88	4	32	2	32	2019-09-06 22:44:22	2019-09-06 22:44:22
89	4	33	2	33	2019-09-06 22:44:22	2019-09-06 22:44:22
90	4	34	2	34	2019-09-06 22:44:23	2019-09-06 22:44:23
91	4	35	2	35	2019-09-06 22:44:23	2019-09-06 22:44:23
92	4	36	2	36	2019-09-06 22:44:23	2019-09-06 22:44:23
93	4	37	2	37	2019-09-06 22:44:23	2019-09-06 22:44:23
94	4	38	2	38	2019-09-06 22:44:23	2019-09-06 22:44:23
95	4	39	2	39	2019-09-06 22:44:23	2019-09-06 22:44:23
96	4	40	2	40	2019-09-06 22:44:23	2019-09-06 22:44:23
97	4	41	2	41	2019-09-06 22:44:23	2019-09-06 22:44:23
98	4	42	2	42	2019-09-06 22:44:23	2019-09-06 22:44:23
99	4	43	2	43	2019-09-06 22:44:23	2019-09-06 22:44:23
100	5	1	2	1	2019-09-09 13:41:52	2019-09-09 13:41:52
101	5	2	2	2	2019-09-09 13:41:52	2019-09-09 13:41:52
102	5	3	2	3	2019-09-09 13:41:52	2019-09-09 13:41:52
103	5	4	2	4	2019-09-09 13:41:52	2019-09-09 13:41:52
104	5	5	2	5	2019-09-09 13:41:52	2019-09-09 13:41:52
105	5	6	2	6	2019-09-09 13:41:52	2019-09-09 13:41:52
106	5	7	2	7	2019-09-09 13:41:52	2019-09-09 13:41:52
107	5	8	2	8	2019-09-09 13:41:52	2019-09-09 13:41:52
108	5	9	2	9	2019-09-09 13:41:52	2019-09-09 13:41:52
109	5	10	2	10	2019-09-09 13:41:52	2019-09-09 13:41:52
110	5	11	2	11	2019-09-09 13:41:52	2019-09-09 13:41:52
111	5	12	2	12	2019-09-09 13:41:52	2019-09-09 13:41:52
112	5	13	2	13	2019-09-09 13:41:52	2019-09-09 13:41:52
113	5	14	2	14	2019-09-09 13:41:52	2019-09-09 13:41:52
114	5	15	2	15	2019-09-09 13:41:52	2019-09-09 13:41:52
115	5	16	2	16	2019-09-09 13:41:52	2019-09-09 13:41:52
116	5	17	2	17	2019-09-09 13:41:52	2019-09-09 13:41:52
117	5	18	2	18	2019-09-09 13:41:52	2019-09-09 13:41:52
118	5	19	2	19	2019-09-09 13:41:52	2019-09-09 13:41:52
119	5	20	2	20	2019-09-09 13:41:52	2019-09-09 13:41:52
120	5	21	2	21	2019-09-09 13:41:52	2019-09-09 13:41:52
121	5	22	2	22	2019-09-09 13:41:52	2019-09-09 13:41:52
122	5	23	2	23	2019-09-09 13:41:52	2019-09-09 13:41:52
123	5	24	2	24	2019-09-09 13:41:52	2019-09-09 13:41:52
124	5	25	2	25	2019-09-09 13:41:52	2019-09-09 13:41:52
125	5	26	2	26	2019-09-09 13:41:52	2019-09-09 13:41:52
